Zürich,918238
Bern/Berne,718297
Luzern,285906
Uri,26647
Schwyz,127907
Obwalden,30684
Nidwalden,34540
Glarus,30724
Zug,97478
Fribourg/Freiburg,229750
Solothurn,199071
Basel-Stadt,84151
Basel-Landschaft,186682
Schaffhausen,60251
Appenzell Ausserrhoden,42158
Appenzell Innerrhoden,13593
Sankt Gallen,362992
Graubünden/Grigioni/Grischun,153549
Aargau,489996
Thurgau,222591
Ticino,299981
Vaud,513046
Valais/Wallis,276797
Neuchâtel,120682
Genève,296656
Jura,55386
Confederation,351583
